Time,AI5,AI6
2019-11-06 11:24:34,219,98
2019-11-06 11:24:35,219,98
2019-11-06 11:24:36,219,98
2019-11-06 11:24:37,219,98
2019-11-06 11:24:38,219,98
2019-11-06 11:24:39,219,98
2019-11-06 11:24:40,219,98
2019-11-06 11:24:41,219,98
2019-11-06 11:24:42,219,98
2019-11-06 11:24:43,219,98
2019-11-06 11:24:44,219,98
2019-11-06 11:24:45,219,98
2019-11-06 11:24:46,219,98
2019-11-06 11:24:47,219,98
2019-11-06 11:24:48,219,98
2019-11-06 11:24:49,219,98
2019-11-06 11:24:50,219,98
2019-11-06 11:24:51,219,98
2019-11-06 11:24:52,219,98
2019-11-06 11:24:53,219,98
2019-11-06 11:24:54,219,98
2019-11-06 11:24:55,219,98
2019-11-06 11:24:56,219,98
2019-11-06 11:24:57,219,98
2019-11-06 11:24:58,219,98
2019-11-06 11:24:59,219,98
2019-11-06 11:25:00,219,98
2019-11-06 11:25:01,219,98
2019-11-06 11:25:02,219,98
2019-11-06 11:25:03,219,98
2019-11-06 11:25:04,219,98
2019-11-06 11:25:05,219,98
2019-11-06 11:25:06,219,98
2019-11-06 11:25:07,219,97
2019-11-06 11:25:08,219,98
2019-11-06 11:25:09,219,97
2019-11-06 11:25:10,219,97
2019-11-06 11:25:11,219,97
2019-11-06 11:25:12,219,97
2019-11-06 11:25:13,219,97
2019-11-06 11:25:14,219,97
2019-11-06 11:25:15,219,97
2019-11-06 11:25:16,219,97
2019-11-06 11:25:17,219,97
2019-11-06 11:25:18,219,97
2019-11-06 11:25:19,219,97
2019-11-06 11:25:20,219,97
2019-11-06 11:25:21,219,97
2019-11-06 11:25:22,219,97
2019-11-06 11:25:23,219,97
2019-11-06 11:25:24,219,97
2019-11-06 11:25:25,219,97
2019-11-06 11:25:26,219,97
2019-11-06 11:25:27,219,97
2019-11-06 11:25:28,219,97
2019-11-06 11:25:29,219,97
2019-11-06 11:25:30,219,97
2019-11-06 11:25:31,219,97
2019-11-06 11:25:32,219,97
2019-11-06 11:25:33,219,97
2019-11-06 11:25:34,219,97
2019-11-06 11:25:35,219,97
2019-11-06 11:25:36,219,97
2019-11-06 11:25:37,219,97
2019-11-06 11:25:38,219,97
2019-11-06 11:25:39,219,97
2019-11-06 11:25:40,219,97
2019-11-06 11:25:41,219,97
2019-11-06 11:25:42,219,97
2019-11-06 11:25:43,219,97
2019-11-06 11:25:44,219,97
2019-11-06 11:25:45,219,97
2019-11-06 11:25:46,219,97
2019-11-06 11:25:47,219,97
2019-11-06 11:25:48,219,97
2019-11-06 11:25:49,219,97
2019-11-06 11:25:50,219,97
2019-11-06 11:25:51,219,97
2019-11-06 11:25:52,219,97
2019-11-06 11:25:53,219,97
2019-11-06 11:25:54,219,97
2019-11-06 11:25:55,219,97
2019-11-06 11:25:56,219,97
2019-11-06 11:25:57,219,97
2019-11-06 11:25:58,219,97
2019-11-06 11:25:59,219,97
2019-11-06 11:26:00,219,97
2019-11-06 11:26:01,219,97
2019-11-06 11:26:02,219,97
2019-11-06 11:26:03,219,97
2019-11-06 11:26:04,219,97
2019-11-06 11:26:05,219,97
2019-11-06 11:26:06,219,97
2019-11-06 11:26:07,219,97
2019-11-06 11:26:08,219,97
2019-11-06 11:26:09,219,97
2019-11-06 11:26:10,219,97
2019-11-06 11:26:11,219,97
2019-11-06 11:26:12,219,97
2019-11-06 11:26:13,219,97
2019-11-06 11:26:14,219,97
2019-11-06 11:26:15,219,97
2019-11-06 11:26:16,219,97
2019-11-06 11:26:17,219,97
2019-11-06 11:26:18,219,97
2019-11-06 11:26:19,219,97
2019-11-06 11:26:20,219,97
2019-11-06 11:26:21,219,97
2019-11-06 11:26:22,219,97
2019-11-06 11:26:23,219,97
2019-11-06 11:26:24,219,97
2019-11-06 11:26:25,219,97
2019-11-06 11:26:26,219,97
2019-11-06 11:26:27,219,97
2019-11-06 11:26:28,219,97
2019-11-06 11:26:29,219,97
2019-11-06 11:26:30,219,97
